work,word,count,total,fpm,source_id,title,author,pub_date
2777,ballad,94,109618,857.5233994416975,nyp.33433082521653,Lyric forms from France :,"Cohen, Helen Louise, 1882-",1922
4025,ballad,61,74478,819.033808641478,uc1.31175035197097,On the Metre of Pierce Plowman's Visions,"Percy, Thomas, Bishop of Dromore.",1765
882,ballad,264,322574,818.4168593873034,inu.30000099860326,The Prosody of Walt Whitman,"Scott, Fred Newton.",1906
3929,ballad,94,116500,806.8669527896997,uc1.b3310855,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811",1883
829,ballad,33,41351,798.045996469251,inu.39000005762732,"Original tales and ballads in the Yorkshire dialect,","Malham-Dembleby, John",1912
1063,ballad,24,30543,785.7774285433651,loc.ark:/13960/t06x0k526,On translating Homer.,"Arnold, Matthew, 1822-1888",1862
4285,ballad,6,7650,784.313725490196,uc1.$b276203,"A first book of poetics,","Shackford, Martha Hale, 1875-1963",1906
1392,ballad,107,141296,757.2755067376288,mdp.39015053659416,English lyric in the age of reason,"Doughty, Oswald",1922
2785,ballad,45,62046,725.268349289237,nyp.33433082521422,"The art of versification,","Esenwein, J. Berg (Joseph Berg), 1867-1946",1913
1408,ballad,45,64170,701.2622720897615,mdp.39015053249754,"The art of versification,","Esenwein, Joseph Berg, 1867-",1920
697,ballad,17,24654,689.5432789810983,hvd.32044058232182,Homeric translation in theory and practice.,"Newman, Francis William, 1805-1897",1861
779,ballad,152,221150,687.3163011530635,hvd.32044014692362,An Essay on Alliterative Poetry,"Skeat, W. W.",1868
3252,ballad,12,17500,685.7142857142857,nyp.33433075859946,The earls of Derby and the verse writers and poets of the sixteenth and seventeenth centuries,"Heywood, Thomas, 1797-1866",1853
3817,ballad,5,7309,684.0881105486386,pst.000006362881,Myths of the robin rebreast in early English poetry :,"Fletcher, Robert, 1823-1912",1889
3355,ballad,40,58944,678.6102062975027,nyp.33433074785894,Studies in early English literature,"Washburn, Emelyn W.",1884
986,ballad,13,19450,668.3804627249357,loc.ark:/13960/t55d9fj76,John Davidson;,"Fineman, Hayim, 1886-1959",1916
2665,ballad,14,21054,664.9567778094423,nnc1.1002345927,The characteristics of primitive poetry. ...,"Bartlett, William",1884
1581,ballad,48,72995,657.579286252483,mdp.39015031011003,"Studies in early English literature,","Washburn, Emelyn W.",1882
980,ballad,30,46475,645.5083378160301,loc.ark:/13960/t5n884v54,"The ""chanson d'aventure"" in Middle English ...","Sandison, Helen Estabrook, 1884-",1913
225,ballad,42,66397,632.5586999412624,hvd.hwkax9,A handbook of poetics for students of English verse,"Gummere, Francis Barton, 1855-1919",1886
224,ballad,42,66468,631.8830113738942,hvd.hwkaxy,"A handbook of poetics, for students of English verse.","Gummere, Francis Barton, 1855-1919",1890
4006,ballad,42,66798,628.761340159885,uc1.32106001661948,"A handbook of poetics, for students of English verse.","Gummere, Francis Barton, 1855-1919",1885
2786,ballad,42,66925,627.5681733283526,nyp.33433082521323,"A handbook of poetics for students of English verse,","Gummere, Francis Barton, 1855-1919",1913
1076,ballad,42,67023,626.6505527953091,mdp.49015000813957,"A handbook of poetics for students of English verse,","Gummere, Francis Barton, 1855-1919",1898
1780,ballad,16,25600,625.0,mdp.39015022463007,Homeric translation in theory and practice :,"Newman, Francis William, 1805-1897",1861
1526,ballad,190,312649,607.7102437557772,mdp.39015032130596,Methods and materials of literary criticism;,"Gayley, Charles Mills, 1858-1932",1920
944,ballad,16,26715,598.9144675276062,loc.ark:/13960/t7zk67k02,Repetition and parallelism in English verse;,"Smith, C. Alphonso (Charles Alphonso), 1864-1924",1894
2418,ballad,38,63528,598.1614406246065,njp.32101067487395,"Lyrical ballads,","Wordsworth, William, 1770-1850",1898
4986,ballad,62,106948,579.7209858996896,wu.89002154276,Historical manual of English prosody,"Saintsbury, George, 1845-1933",1922
2791,ballad,9,16237,554.2895855145655,nyp.33433082518584,"Points about poetry,","French, Donald Graham, 1873-",1910
3859,ballad,25,45870,545.0185306300414,uc1.b3850894,Choriambics,"Swinburne, Algernon Charles.",1902
2238,ballad,120,223329,537.323858522628,njp.32101075672905,A Laboratory Experiment in Poetry,"Bennett, Florence M.",1922
4543,ballad,2,3807,525.3480430785396,uiug.30112061593254,Short English Prosody for use in schools,"Schmidt, Friedrich",1904
757,ballad,48,94218,509.4567916958543,hvd.32044021008149,Note on the Versification and Metre of Dunbar,"McNeill, G. P.",1893
3882,ballad,20,39269,509.30759632279916,uc1.b3548551,Choriambics,"Swinburne, Algernon Charles.",1878
1684,ballad,41,80750,507.73993808049534,mdp.39015030768439,"Poetry of the people,","Gayley, Charles Mills, 1858-1932",1903
1446,ballad,99,195023,507.63243309763465,mdp.39015048893831,Rising and Falling Rhythms in English Verse,"Creek, Herbert L.",1920
2001,ballad,22,43479,505.9913981462315,mdp.39015005332690,English fairy poetry from the origins to the seventeenth century. -,"Delattre, Floris, 1880-",1912
4583,ballad,6,12065,497.30625777041024,uva.x030696382,"Rhymes and meters,","Winslow, Horatio, 1882-1972",1914
4983,ballad,6,12109,495.49921545957557,wu.89003585825,Rhymes and meters.,"Winslow, Horatio, 1882-1972",1906
2211,ballad,121,245407,493.05847021478604,njp.32101076379989,English Prosody,(none),1911
1441,ballad,24,48850,491.2998976458546,mdp.39015049192928,Words and Music in Song,"Fox-Strangways, A. H",1921
4004,ballad,43,87903,489.17556852439617,uc1.32106001875688,"Poetry of the people,","Gayley, Charles Mills, 1858-1932",1920
1391,ballad,39,83966,464.4737155515328,mdp.39015053661768,"Verse satire in England before the renaissance,","Tucker, S. Marion (Samuel Marion), 1876-1962",1908
3806,ballad,4,8761,456.5688848304988,pst.000022960368,"Poetry, with reference to Aristotles's Poetics","Newman, John Henry, 1801-1890",1891
